Energy CH1 (Wh);Energy CH2 (Wh);Energy CH3 (Wh);time
935;135;0;12/12/2018 18:00:00
348;52;0;12/12/2018 19:00:00
1208;24;0;12/12/2018 20:00:00
301;88;0;12/12/2018 21:00:00
319;153;0;12/12/2018 22:00:00
143;63;0;12/12/2018 23:00:00
65;33;0;13/12/2018 00:00:00
86;13;0;13/12/2018 01:00:00
35;14;0;13/12/2018 02:00:00
85;13;0;13/12/2018 03:00:00
31;13;0;13/12/2018 04:00:00
84;13;0;13/12/2018 05:00:00
31;13;0;13/12/2018 06:00:00
136;11;0;13/12/2018 07:00:00
170;131;0;13/12/2018 08:00:00
82;5;0;13/12/2018 09:00:00
42;14;0;13/12/2018 10:00:00
67;14;0;13/12/2018 11:00:00
44;16;0;13/12/2018 12:00:00
66;13;0;13/12/2018 13:00:00
32;2;0;13/12/2018 14:00:00
62;12;0;13/12/2018 15:00:00
49;14;0;13/12/2018 16:00:00
629;15;0;13/12/2018 17:00:00
198;10;0;13/12/2018 18:00:00
194;5;0;13/12/2018 19:00:00
171;14;0;13/12/2018 20:00:00
1110;16;0;13/12/2018 21:00:00
131;14;0;13/12/2018 22:00:00
235;10;0;13/12/2018 23:00:00
193;4;0;14/12/2018 00:00:00
225;14;0;14/12/2018 01:00:00
200;15;0;14/12/2018 02:00:00
226;12;0;14/12/2018 03:00:00
181;2;0;14/12/2018 04:00:00
238;14;0;14/12/2018 05:00:00
185;14;0;14/12/2018 06:00:00
244;14;0;14/12/2018 07:00:00
129;0;0;14/12/2018 08:00:00
83;14;0;14/12/2018 09:00:00
30;14;0;14/12/2018 10:00:00
124;14;0;14/12/2018 11:00:00
99;0;0;14/12/2018 12:00:00
115;14;0;14/12/2018 13:00:00
33;14;0;14/12/2018 14:00:00
83;14;0;14/12/2018 15:00:00
17;0;0;14/12/2018 16:00:00
83;14;0;14/12/2018 17:00:00
32;14;0;14/12/2018 18:00:00
108;14;0;14/12/2018 19:00:00
203;1;0;14/12/2018 20:00:00
188;13;0;14/12/2018 21:00:00
127;14;0;14/12/2018 22:00:00
62;14;0;14/12/2018 23:00:00
70;14;0;15/12/2018 00:00:00
47;1;0;15/12/2018 01:00:00
48;12;0;15/12/2018 02:00:00
63;14;0;15/12/2018 03:00:00
42;13;0;15/12/2018 04:00:00
71;14;0;15/12/2018 05:00:00
20;0;0;15/12/2018 06:00:00
74;14;0;15/12/2018 07:00:00
40;14;0;15/12/2018 08:00:00
109;14;0;15/12/2018 09:00:00
139;0;0;15/12/2018 10:00:00
282;14;0;15/12/2018 11:00:00
349;14;0;15/12/2018 12:00:00
280;14;0;15/12/2018 13:00:00
527;0;0;15/12/2018 14:00:00
168;14;0;15/12/2018 15:00:00
124;14;0;15/12/2018 16:00:00
206;10;0;15/12/2018 17:00:00
208;3;0;15/12/2018 18:00:00
246;14;0;15/12/2018 19:00:00
238;14;0;15/12/2018 20:00:00
430;10;0;15/12/2018 21:00:00
246;4;0;15/12/2018 22:00:00
133;14;0;15/12/2018 23:00:00
270;14;0;16/12/2018 00:00:00
304;12;0;16/12/2018 01:00:00
546;3;0;16/12/2018 02:00:00
175;14;0;16/12/2018 03:00:00
35;14;0;16/12/2018 04:00:00
91;14;0;16/12/2018 05:00:00
31;9;0;16/12/2018 06:00:00
82;5;0;16/12/2018 07:00:00
35;14;0;16/12/2018 08:00:00
96;14;0;16/12/2018 09:00:00
60;13;0;16/12/2018 10:00:00
241;4;0;16/12/2018 11:00:00
424;10;0;16/12/2018 12:00:00
358;14;0;16/12/2018 13:00:00
310;14;0;16/12/2018 14:00:00
129;9;0;16/12/2018 15:00:00
53;5;0;16/12/2018 16:00:00
50;14;0;16/12/2018 17:00:00
93;14;0;16/12/2018 18:00:00
61;44;0;16/12/2018 19:00:00
108;51;0;16/12/2018 20:00:00
197;31;0;16/12/2018 21:00:00
329;186;0;16/12/2018 22:00:00
197;117;0;16/12/2018 23:00:00
75;32;0;17/12/2018 00:00:00
68;14;0;17/12/2018 01:00:00
38;14;0;17/12/2018 02:00:00
87;14;0;17/12/2018 03:00:00
33;13;0;17/12/2018 04:00:00
78;0;0;17/12/2018 05:00:00
32;14;0;17/12/2018 06:00:00
119;13;0;17/12/2018 07:00:00
322;269;0;17/12/2018 08:00:00
78;9;0;17/12/2018 09:00:00
26;5;0;17/12/2018 10:00:00
126;13;0;17/12/2018 11:00:00
122;13;0;17/12/2018 12:00:00
181;126;0;17/12/2018 13:00:00
175;119;0;17/12/2018 14:00:00
69;43;0;17/12/2018 15:00:00
65;2;0;17/12/2018 16:00:00
107;84;0;17/12/2018 17:00:00
222;59;0;17/12/2018 18:00:00
211;3;0;17/12/2018 19:00:00
146;17;0;17/12/2018 20:00:00
440;107;0;17/12/2018 21:00:00
172;40;0;17/12/2018 22:00:00
256;205;0;17/12/2018 23:00:00
110;30;0;18/12/2018 00:00:00
46;14;0;18/12/2018 01:00:00
37;14;0;18/12/2018 02:00:00
100;12;0;18/12/2018 03:00:00
33;3;0;18/12/2018 04:00:00
34;14;0;18/12/2018 05:00:00
128;14;0;18/12/2018 06:00:00
41;0;0;18/12/2018 07:00:00
335;260;0;18/12/2018 08:00:00
70;0;0;18/12/2018 09:00:00
33;15;0;18/12/2018 10:00:00
54;2;0;18/12/2018 11:00:00
269;38;0;18/12/2018 12:00:00
704;543;0;18/12/2018 13:00:00
805;762;0;18/12/2018 14:00:00
216;152;0;18/12/2018 15:00:00
74;60;0;18/12/2018 16:00:00
145;75;0;18/12/2018 17:00:00
393;57;0;18/12/2018 18:00:00
202;85;0;18/12/2018 19:00:00
446;103;0;18/12/2018 20:00:00
542;288;0;18/12/2018 21:00:00
839;370;0;18/12/2018 22:00:00
89;31;0;18/12/2018 23:00:00
931;287;0;19/12/2018 00:00:00
44;13;0;19/12/2018 01:00:00
32;13;0;19/12/2018 02:00:00
91;13;0;19/12/2018 03:00:00
52;11;0;19/12/2018 04:00:00
21;2;0;19/12/2018 05:00:00
79;13;0;19/12/2018 06:00:00
98;13;0;19/12/2018 07:00:00
293;267;0;19/12/2018 08:00:00
95;4;0;19/12/2018 09:00:00
60;13;0;19/12/2018 10:00:00
186;14;0;19/12/2018 11:00:00
171;12;0;19/12/2018 12:00:00
139;16;0;19/12/2018 13:00:00
227;16;0;19/12/2018 14:00:00
324;213;0;19/12/2018 15:00:00
126;95;0;19/12/2018 16:00:00
352;88;0;19/12/2018 17:00:00
356;65;0;19/12/2018 18:00:00
84;53;0;19/12/2018 19:00:00
96;26;0;19/12/2018 20:00:00
64;23;0;19/12/2018 21:00:00
258;106;0;19/12/2018 22:00:00
168;111;0;19/12/2018 23:00:00
79;20;0;20/12/2018 00:00:00
62;13;0;20/12/2018 01:00:00
35;13;0;20/12/2018 02:00:00
99;12;0;20/12/2018 03:00:00
30;9;0;20/12/2018 04:00:00
63;3;0;20/12/2018 05:00:00
57;12;0;20/12/2018 06:00:00
71;12;0;20/12/2018 07:00:00
278;192;0;20/12/2018 08:00:00
72;12;0;20/12/2018 09:00:00
69;11;0;20/12/2018 10:00:00
49;1;0;20/12/2018 11:00:00
41;23;0;20/12/2018 12:00:00
132;50;0;20/12/2018 13:00:00
362;344;0;20/12/2018 14:00:00
43;13;0;20/12/2018 15:00:00
91;14;0;20/12/2018 16:00:00
215;14;0;20/12/2018 17:00:00
167;13;0;20/12/2018 18:00:00
75;38;0;20/12/2018 19:00:00
101;28;0;20/12/2018 20:00:00
298;105;0;20/12/2018 21:00:00
180;47;0;20/12/2018 22:00:00
133;120;0;20/12/2018 23:00:00
120;62;0;21/12/2018 00:00:00
60;13;0;21/12/2018 01:00:00
36;14;0;21/12/2018 02:00:00
104;14;0;21/12/2018 03:00:00
36;14;0;21/12/2018 04:00:00
72;8;0;21/12/2018 05:00:00
53;7;0;21/12/2018 06:00:00
33;14;0;21/12/2018 07:00:00
158;46;0;21/12/2018 08:00:00
88;14;0;21/12/2018 09:00:00
226;14;0;21/12/2018 10:00:00
170;14;0;21/12/2018 11:00:00
219;14;0;21/12/2018 12:00:00
823;45;0;21/12/2018 13:00:00
761;185;0;21/12/2018 14:00:00
244;100;0;21/12/2018 15:00:00
312;22;0;21/12/2018 16:00:00
392;141;0;21/12/2018 17:00:00
344;111;0;21/12/2018 18:00:00
345;111;0;21/12/2018 19:00:00
495;82;0;21/12/2018 20:00:00
384;370;0;21/12/2018 21:00:00
132;30;0;21/12/2018 22:00:00
79;14;0;21/12/2018 23:00:00
73;41;0;22/12/2018 00:00:00
103;40;0;22/12/2018 01:00:00
66;15;0;22/12/2018 02:00:00
100;1;0;22/12/2018 03:00:00
40;14;0;22/12/2018 04:00:00
83;0;0;22/12/2018 05:00:00
28;1;0;22/12/2018 06:00:00
69;14;0;22/12/2018 07:00:00
55;13;0;22/12/2018 08:00:00
42;3;0;22/12/2018 09:00:00
189;121;0;22/12/2018 10:00:00
222;107;0;22/12/2018 11:00:00
308;72;0;22/12/2018 12:00:00
602;464;0;22/12/2018 13:00:00
675;216;0;22/12/2018 14:00:00
192;98;0;22/12/2018 15:00:00
138;63;0;22/12/2018 16:00:00
58;16;0;22/12/2018 17:00:00
67;16;0;22/12/2018 18:00:00
82;35;0;22/12/2018 19:00:00
223;79;0;22/12/2018 20:00:00
285;134;0;22/12/2018 21:00:00
175;49;0;22/12/2018 22:00:00
135;80;0;22/12/2018 23:00:00
